Author	Author	Define what will be the label for author.	General
front_menu_dashboard	My Downloads	The front-end menu item for user's downloads dashboard.	General
front_menu_downloads	Downloads	The front-end menu item for Downloads main page.	General
dashboard_menu_all_downloads	All downloads	The All downloads menu link in the dashboard menu.	General
search_placeholder	Search...	Search input placeholder.	General
Tags	Tags	Tags label.	General
category_root	-- top --	Categories tree root.	General
previous_link	&laquo; Previous	Previous link	General
next_link	Next &raquo;	Next link	General
cancel	Cancel	Cancel	General

index_table_title	Title	Download title in table view.	Index page
index_table_status	Status	Download status in table view.	Index page
index_table_downloads_num	Downloads	Times downloaded in table view.	Index page
index_table_actions	Actions	Index table actions.	Index page
sort_by	Sort by	Sort by label.	Index page
sort_by_post_title	name ascending	Sort by name ascending.	Index page
sort_by_post_title_desc	name descending	Sort by name descending.	Index page
sort_by_post_modified	recently modified	Sort by recently modified.	Index page
sort_by_newest	newest	Sort by newest.	Index page
sort_by_rating	rating	Sort by rating.	Index page
sort_by_downloads	downloads number	Sort by downloads number.	Index page
sort_by_views	views number	Sort by views number.	Index page
sort_by_menu_order	manual	Sort by manual order.	Index page
index_view_tiles	tiles	Index view tiles.	Index page
index_view_list	list	Index view list.	Index page
index_view_category	category	Index view category.	Index page
index_view_table	table	Index view table.	Index page
index_download_info_link	Details	Index page info link.	Index page
index_download_details	Details	Details of the download.	Index page
index_no_results	No results have been found	No results message.	Index page
index_category_show_more	Show more	Show more link	Index page
index_level_up	One level up	One level up link.	Index page
index_layout_switch	Layout:	Change layout.	Index page
index_pagination_showing	Showing %d-%d of %d	Showing results.	Index page
index_one_download	1 download	One download.	Index page
index_d_downloads	%d downloads	Several downloads.	Index page
index_all_downloads	All downloads	All downloads	Index page

dashboard_table_id	ID	ID column header.	Dashboard
dashboard_table_title	Title	Title column header.	Dashboard
dashboard_table_status	Status	Status column header.	Dashboard
dashboard_date	Download date	Downloads date column.	Dashboard
dashboard_table_downloads_num	Downloads	Downloads column header.	Dashboard
dashboard_table_actions	Actions	Actions column header.	Dashboard
dashboard_no_downloads	You haven't added any downloads yet	No downloads message.	Dashboard
dashboard_action_unpublish	Unpublish	Unpublish download action.	Dashboard
dashboard_action_publish	Publish	Publish download action.	Dashboard
dashboard_action_edit	Edit	Edit download action.	Dashboard
dashboard_action_delete	Delete	Delete download action.	Dashboard
dashboard_action_delete_confirm	Are you sure you want to delete?	Confirmation before deleting a download.	Dashboard
dashboard_no_results	No results have been found	No results message.	Dashboard
manage_my_downloads	Manage my Downloads	Manage my Downloads link	Dashboard

upload_shortcodes	Shortcodes	Document's shortcode field on the upload page.	Upload
upload_title_field	Title	Document's title field on the upload page.	Upload
upload_file_field	File	Document's file field on the upload page.	Upload
download_updated_view_link_title	View  &raquo;	Link to updated download after save.	Upload
upload_allowed_extensions	Allowed extensions:	Allowed extensions label.	Upload
upload_thumb_field	Thumbnail	Document's thumbnail field on the upload page.	Upload
upload_thumb_field_desc	Thumbnail won't be shown on the screenshots region.	Document's thumbnail field description on the upload page.	Upload
upload_thumb_click_to_set	Click on a screenshot above to set the main thumbnail.	Document's thumbnail text when no image selected.	Upload
upload_file_expiration_field	File Expiration	Document's expiration field on the upload page.	Upload
upload_file_expiration_field_description	Set file expiration date. Users will not be able to see and download file after this date	Document's expiration field description on the upload page.	Upload
upload_screenshots_field	Screenshots	Document's screenshots field.	Upload
upload_screenshots_field_description	Choose screenshots to be displayed on the download page.	Screenshot field description.	Upload
upload_password_field	Protect by password	Document's password field on the upload page.	Upload
upload_permission_field	Who can download	Document's download permission field.	Upload
upload_permission_all	All users (including guests)	Document's download permission "all" option.	Upload
upload_permission_loggedin	All logged-in users	Document's download permission "logged-in users" option.	Upload
upload_permission_publish_posts	All users with "publish_posts" capability	Document's download permission "publish_posts" option.	Upload
upload_permission_edit_posts	All users with "edit_posts" capability	Document's download permission "edit_posts" option.	Upload
upload_permission_manage_options	All users with "manage_options" capability	Document's download permission "manage_options" option.	Upload
upload_permission_user_groups	Selected CMDM user groups	Document's download permission "user groups" option.	Upload
upload_permission_users	Selected users	Document's download permission "selected users" option.	Upload
upload_permission_author	Only author	Document's download permission "author" option.	Upload
upload_visibility_users_groups	Allowed Users Groups	Allowed Users Groups on the upload form.	Upload
upload_visibility_allowed_roles	Allowed WP Roles	Allowed WP Roles on the upload form.	Upload
upload_select_files_btn	Select files	Select files button.	Upload
upload_select_file_btn	Select file	Select file button.	Upload
upload_category_add_btn	Add	Category add button.	Upload
upload_category_add_placeholder	New category	New category name placeholder.	Upload
upload_form_add_btn	Add	Add form's submit button.	Upload
upload_form_update_btn	Update	Update form's submit button.	Upload
upload_please_wait	Please wait, sending data in progress	Please wait text.	Upload
upload_browse_wp_upload_dir	Browse WP upload dir	Label for button "Browse WP upload dir".	Upload
upload_menu_add_new	Add new	Add new button.	Upload
upload_menu_delete	Delete	Delete button.	Upload
upload_menu_view	View	View button.	Upload
upload_menu_edit	Edit	Edit button.	Upload
files_list_upload_btn	Upload	Upload button label on the cmdm-files-list shortcode.	Upload
upload_category_no_limit_field	Categories	Field label for categories field.	Upload
upload_category_field	Category (max. %d)	Field label for categories field.	Upload
upload_cmvl_channel	Video Lessons channel	Field title for Video Lessons channel.	Upload
upload_cmvl_channel_desc	Associate with the CM Video Lessons channel to display an extra Video tab.	Field description for Video Lessons channel.	Upload
upload_page_tags	Tags	Tags on the upload page.	Upload
upload_page_tags_placeholder	Add tag	Placeholder for the tags input field.	Upload
upload_not_permitted_limit	You have reached the uploads limit. Please try later.	Message displayed instead of the upload form, when user reached the uploads limit.	Upload
upload_admin_recommended	Admin Recommended	Admin Recommended row.	Upload
upload_number_of_downloads	Times downloaded	Times downloaded row.	Upload
upload_allow_single_file_download	Allow single file download	Allow single file download row.	Upload
upload_allow_single_file_download_desc	For multiple-file package you can allow user to download each file separately.	Allow single file download row description.	Upload
upload_allow_selecting_specific_files	Allow selection of specific files	Allow selection of specific files row.	Upload
upload_allow_selecting_specific_files_desc	For multiple-file package you can allow user to select only specific files to download as a ZIP package.	Allow selection of specific files row.	Upload
upload_find_category	Find category...	Find category field.	Upload
upload_new_category	New category	New category button.	Upload
upload_new_category_parent	Parent:	Parent category for new category.	Upload
upload_agreement	Agreement	row.	Upload
upload_type_url	URL	URL upload type.	Upload
upload_type_url_hide_url	Hide URL from users	Hide URL from users.	Upload
upload_type_url_hide_url_desc	Stream file behind the URL to hide the address from users (may not work on all servers). If disabled, simply redirect browser to the given URL.	Description of the hide URL checkbox.	Upload
upload_allowed_groups	Allowed CMDM User Groups	Allowed CMDM User Groups.	Upload
upload_allowed_users	Allowed Wordpress Users	Allowed Wordpress Users	Upload
upload_allowed_users_list	Allowed Users	Allowed Users list	Upload
upload_browse_wp_dir	Browse WP home dir	Browse WP home dir	Upload
upload_type_file	File	Upload type: file	Upload
upload_type_url	URL	Upload type: URL	Upload
upload_type_shortcode	Shortcode	Upload type: shortcode	Upload
upload_version	Version	Version field	Upload
upload_download_type	Download type	Download type	Upload
upload_shortcode_field	Shortcode	Shortcode field	Upload
upload_screenshots_disabled_msg	Screenshots are disabled in the plugin settings and won't be visible on the download's page.	Screenshots are disabled message.	Upload
youtube_link_title_field	Youtube link	Youtube link field label	Upload
youtube_link_title_desc	Paste links to video separated by comma	Youtube link title description	Upload
upload_images	Images	Images	Upload
upload_enable_preview	Enable Preview	Enable Preview	Upload
upload_enable_preview_desc	For documents or images you can show Google Docs preview for users.	Enable preview description.	Upload
upload_enable_player	Enable Media Player	Enable Media Player	Upload
upload_enable_player_desc	For audio/movie files you can show media player for users.	Enable player description.	Upload
upload_notify_support	Notify me on new support topics	Notify me on new support topics	Upload
upload_require_name_email	Require non logged in users to provide name and email	Require name and email.	Upload
upload_visibility	Visibility	Visibility	Upload
upload_visibility_all	All users (including guests)	All users	Upload
upload_visibility_loggedin	All logged-in users	All logged-in users	Upload
upload_visibility_publish_posts	All users with "publish_posts" capability	All users with "publish_posts" capability	Upload
upload_visibility_edit_posts	All users with "edit_posts" capability	All users with "edit_posts" capability	Upload
upload_visibility_manage_options	All users with "manage_options" capability	All users with "manage_options" capability	Upload
